x	H
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	0
21	2
22	6
23	5
24	3
25	8
26	6
27	14
28	13
29	12
30	13
31	12
32	4
33	5
34	12
35	9
36	10
37	9
38	11
39	9
40	2
41	1
42	3
43	1
44	2
45	3
46	2
47	0
48	0
49	0
50	0
51	1
