0 Winkel Fehler_W Wirkungsquerschnitt1 Fehler1 Wirkungsquerschnitt2 Fehler2 Wirkungsquerschnitt3 Fehler3 Wirkungsquerschnitt4 Fehler4 Wirkungsquerschnitt5 Fehler5
1 20 0.5 8.940036495553157 9.06990174415 6.45137025764 0.038550284751 6.73101147591 0.186872621396 7.47633981399 0.0222714481108 10.651111385294046 0.6952149548163312
2 30 0.5 7.675762170767368 6.44432892436 5.11896171634 0.0426492099747 5.69586215659 0.271448743819 6.94818920599 0.0300062408676 9.445637463219919 0.5617187856634411
3 40 0.5 5.350503660531797 5.27115902232 3.87517609758 0.0389362834266 4.35176064424 0.28143180979 6.30031657476 0.0341218381309 7.207117198745856 0.3993508490524524
4 50 0.5 3.725985220183221 4.71163891052 2.89394047262 0.0317608028771 3.26576522412 0.246973372327 5.61086492122 0.0341218381309 5.702276247210987 0.30679832154660674
5 60 0.5 2.4952102037038815 4.49349247544 2.20030422623 0.0241708400795 2.46184031025 0.216384944242 4.96299228999 0.0300062408676 4.631497019939759 0.23810991023626202
6 70 0.5 1.6931132049075663 4.5175267 1.74627364692 0.0176648476003 1.92570972855 0.193881044149 4.434841682 0.0222714481108 4.040409757626548 0.2033491425756835
7 80 0.5 0.9352322376449774 4.75688547544 1.46665546707 0.0127579528181 1.5967632332 0.143757982679 4.09011585522 0.0118503900202 3.5600184860331647 0.1746570021425588
