x	H
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	1
32	0
33	0
34	0
35	1
36	0
37	1
38	2
39	4
40	2
41	6
42	6
43	3
44	2
45	10
46	8
47	8
48	14
49	7
50	13
51	13
52	3
53	2
54	7
55	10
56	12
57	8
58	7
59	7
60	5
61	5
62	5
63	0
64	2
65	2
66	1
67	1
68	1
