x	H
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	0
38	1
39	1
40	0
41	4
42	5
43	4
44	7
45	5
46	8
47	6
48	8
49	6
50	4
51	5
52	14
53	6
54	9
55	9
56	12
57	9
58	14
59	8
60	8
61	4
62	6
63	3
64	5
65	2
66	2
67	1
68	0
69	1
70	1
71	0
72	0
73	1
