x	H
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	1
42	0
43	1
44	2
45	2
46	4
47	1
48	0
49	2
50	3
51	5
52	2
53	7
54	3
55	3
56	4
57	2
58	0
59	3
60	5
61	2
62	1
63	1
64	1
65	0
66	1
67	0
68	2
69	1
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1
