x	H
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	1
18	1
19	0
20	2
21	1
22	2
23	2
24	7
25	11
26	11
27	6
28	9
29	5
30	17
31	13
32	10
33	11
34	17
35	14
36	6
37	7
38	11
39	4
40	3
41	3
42	3
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	1
